time,field.x,field.y,field.z
1460464700913752079,501.0,1065.0,0.559126675129
1460464700960604906,494.0,1058.0,0.560673892498
1460464701015115022,486.0,1050.0,0.545444071293
1460464701067250967,475.0,1041.0,0.561002194881
1460464701114650964,467.0,1034.0,0.560882806778
1460464701165870904,459.0,1027.0,0.54129087925
1460464701205184936,450.0,1019.0,0.543074727058
1460464701243237018,445.0,1014.0,0.547662258148
1460464701281369924,440.0,1009.0,0.559087693691
1460464701319031953,435.0,1003.0,0.544424057007
1460464701357703924,432.0,998.0,0.561168372631
1460464701391946077,431.0,994.0,0.55210340023
1460464701434258937,430.0,991.0,0.552501618862
1460464701473006010,432.0,987.0,0.550909876823
1460464701511112928,433.0,985.0,0.564597070217
1460464701550137042,436.0,984.0,0.560613930225
1460464701591638088,443.0,983.0,0.557093918324
1460464701633097887,449.0,981.0,0.547123670578
1460464701684174060,459.0,976.0,0.561943948269
1460464701725444078,465.0,969.0,0.563219130039
1460464701764425992,474.0,956.0,0.557232320309
1460464701802869081,479.0,946.0,0.571288645267
1460464701831792116,483.0,936.0,0.54361385107
1460464701889493942,488.0,920.0,0.546172082424
1460464701929766893,490.0,909.0,0.529436409473
1460464701969482898,490.0,894.0,0.552860438824
1460464702008877992,490.0,883.0,0.558141589165
1460464702046312093,488.0,873.0,0.554019451141
1460464702075231075,484.0,860.0,0.566323935986
1460464702121819019,479.0,848.0,0.556662976742
1460464702159770011,474.0,840.0,0.55700647831
1460464702197302103,466.0,830.0,0.554637908936
1460464702235214948,459.0,822.0,0.559438943863
1460464702272547960,450.0,811.0,0.567971944809
1460464702309150934,443.0,802.0,0.546964645386
1460464702346344947,433.0,789.0,0.542012453079
1460464702384160995,425.0,779.0,0.540312170982
1460464702421370983,414.0,766.0,0.553909540176
1460464702457823038,406.0,756.0,0.540807366371
1460464702495021104,394.0,744.0,0.54592269659
1460464702532066106,385.0,735.0,0.530446350574
1460464702569452047,377.0,726.0,0.518216490746
1460464702606669902,366.0,713.0,0.529413938522
1460464702644764900,359.0,701.0,0.54862678051
1460464702682393074,352.0,690.0,0.541360914707
1460464702719564914,343.0,675.0,0.557984828949
1460464702756385087,337.0,665.0,0.553541362286
1460464702793814897,332.0,655.0,0.565551519394
1460464702830732107,327.0,642.0,0.566598057747
1460464702868550062,325.0,633.0,0.557847678661
1460464702906301975,322.0,625.0,0.54639005661
1460464702944084882,320.0,615.0,0.554042041302
1460464702998363971,318.0,608.0,0.567186057568
1460464703039926052,316.0,601.0,0.565408110619
1460464703079379081,315.0,590.0,0.559336721897
1460464703118732929,314.0,582.0,0.564117908478
1460464703161003112,313.0,574.0,0.556209743023
1460464703198568105,312.0,564.0,0.576999902725
1460464703226782083,311.0,557.0,0.549352049828
1460464703273762941,310.0,551.0,0.571287035942
1460464703315274953,311.0,544.0,0.557028889656
1460464703355284929,313.0,539.0,0.562486052513
1460464703400072097,316.0,534.0,0.571052968502
1460464703446168899,319.0,529.0,0.56940984726
1460464703494086980,324.0,519.0,0.553941249847
1460464703534542083,327.0,510.0,0.559050023556
1460464703573391914,331.0,499.0,0.571378529072
1460464703612180948,336.0,485.0,0.549960970879
1460464703655241012,340.0,471.0,0.548505961895
1460464703697524070,342.0,462.0,0.584243774414
1460464703741580963,345.0,450.0,0.56673014164
1460464703779726982,346.0,441.0,0.544912099838
1460464703820750951,348.0,433.0,0.583637833595
1460464703858278036,349.0,421.0,0.556406199932
1460464703895498037,350.0,410.0,0.564769029617
1460464703932801961,350.0,403.0,0.54397714138
1460464703974601984,349.0,393.0,0.562366127968
1460464704012116909,349.0,386.0,0.576838552952
1460464704049089908,349.0,379.0,0.561847150326
1460464704087070941,349.0,369.0,0.563721716404
1460464704127952098,350.0,361.0,0.561183691025
1460464704168538093,350.0,350.0,0.558902144432
1460464704220174074,349.0,339.0,0.577553749084
1460464704269856929,349.0,331.0,0.547589302063
1460464704319175958,348.0,322.0,0.580444931984
1460464704360663890,347.0,311.0,0.561850249767
1460464704400801897,347.0,303.0,0.55564391613
1460464704441245079,347.0,293.0,0.559537172318
1460464704484009981,347.0,286.0,0.567539274693
1460464704523683071,346.0,276.0,0.568190813065
1460464704572719097,345.0,268.0,0.55137783289
1460464704619323015,345.0,257.0,0.568717956543
1460464704667314052,345.0,248.0,0.554717719555
1460464704714359998,346.0,235.0,0.568111181259
1460464704780828952,346.0,226.0,0.546217143536
1460464704841478109,347.0,218.0,0.554510176182
1460464704903959035,347.0,207.0,0.5735450387
1460464704952089071,348.0,200.0,0.56375259161
1460464705002034902,352.0,191.0,0.557299494743
1460464705055706977,358.0,186.0,0.545655548573
1460464705111098051,367.0,181.0,0.577754855156
1460464705167026996,375.0,178.0,0.545380175114
